Source,Source Title,Source Publication Date,Source Page Number,Source Link,Source Access Date,Repository,Source Citation,Item Title,Critic/Reporter,"Poet Name (Last, First Middle) [Alternate Name]",Poet Last Name,Poet Middle Names,Poet First Name,Mentioned Poets,Relative | Relationship to Poet,"Mentioned, Other | Profession",Poet Publication Details,Poet Pub Type,Publication Poet Mentioned In,Event Title,Event Date,Event Location,Event Type,Coordinates ,Excerpt,Commentary,Tags,Notes
Published Poem,The Times Literary Supplement,1962-08-10,p. 569, https://link.gale.com/apps/doc/EX1200325445/GDCS?u= linc74325&sid=GDCS&xid=701fb2c1,2019-12-17,Gale Primary Sources Database,"Ghose, Zulfikar. ""Zulfikar Ghose."" The Times Literary Supplement, 10 Aug. 1962, p. 569. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1",One Night at Victoria Beach,,"Okara, Gabriel",,,,"Soyika, Wole
Hong, EE Tiang
Ghose, Zulfikar",,,"Okara, Gabriel. ""One Night at Victoria Beach."" 1962.",,,,,,,,,,"publication, beach, night",
Critical Article,The Times Literary Supplement,1969-10-02,p. 1128, https://link.gale.com/apps/doc/EX1200361533/GDCS?u=linc74325&sid= GDCS&xid=434aee80,2019-12-17,Gale Primary Sources Database,"""Commentary."" The Times Literary Supplement, 2 Oct. 1969, p. 1128. The Times Literary Supplement Historical Archive, https://link.gale.com/apps/doc/EX1200361533/GDCS?u=linc74325&sid= GDCS&xid=434aee80. Accessed 17 Dec. 2019.",Commentary,,"Achebe, Chinua [Albert Chinualumogu]
Okara, Gabriel",,,,,,"Oyono, Ferdinand|Writer
Beti, Mongo|Writer
Moore, Gerald|Academic
Ekwensi, Cyprian|Writer
","Achebe, Chinua. Things Fall Apart. Heinemann, 1958.",Single Author|Full Text,,,,,,,"[Excerpt]: ""The new African writing has come a long way since the early 1950s when its preoccupations reached publication under titles as Elizabeth's passion and How to write love letters. Authors even then were not shy to take liberties with the English language... Anglophone Africa had to wait ten years before it could begin to read these books in translation and it is still waiting for the Mongo Beti novel, which is currently being translated by Gerald Moore and will then join the other two in the African Writers Series of Heinemann Educational Books. General editor of this series which, including forthcoming books, extends to some 73 titles, is the Ibo, Chinua Achebe, whose first novel, Things Fall Apart, published in 1958, is a classic of modern African writing which has become well known through translations into many languages...[Achebe] identifies himself wholeheartedly with the Biafran cause and he and two other gifted young writers, Cyprian Ekwensi and Gabriel Okara, have undertaken highly paid lecture tours in the United States to raise funds for their country. Achebe's publisher asked him while he was in London not so long ago whether he was in fact here on diplomatic business. ""No,"" he replied, ""on sedition."" ",,"publication, series, forthcoming, indigenous",
Book Review,The Times Literary Supplement,2010-11-05,p. 29,https://link.gale.com/apps/doc/EX1200554770/GDCS?u=linc74325&sid= GDCS&xid=1ee2efcb,2020-01-23,Gale Primary Sources Database,"Fraser, Robert. ""Far removed."" The Times Literary Supplement, 5 Nov. 2010, p. 29. The Times Literary Supplement Historical Archive, 1902-2014, https://link.gale.com/apps/doc/EX1200554770/GDCS?u=linc74325&sid= GDCS&xid=1ee2efcb. Accessed 23 Jan. 2020.",Far removed,"Fraser, Robert","Okigbo, Christopher",,,,"Eliot, T. S.",,"Fraser, Robert|Critic
Adichie, Chimamanda Ngozi|Writer
Nwakanma, Obi|Writer
Larkin, Philip|Writer
Ifeajuna, Emmanuel|Politician
Ironsi, Johnson|Politician
Hill, Geoffrey|Academic
Boibaku, Saburi|Academic
Stevenson, Robert Louis|Writer
Maule, Jeremy|Academic
Starling, Belinda|Writer
",,,"Nwakanma, Obi. Christopher Okigbo, 1930-67: Thirsting for Sunlight. James Currey, 2010.",Death of Christopher Okigbo,Mon Sep 18 00:00:00 CDT 1967,West Africa. Nigeria. Biafra.,Event|Political,,"[Excerpt]: ""On September 18, 1967, two months after appointing himself major in the Biafran army, Christopher Okigbo--a thirty-seven-year-old patriot, classicist, and poet--was riddled by bullets during a battle to contain the federal Nigerian army in the university town of Nsukka, where he had once worked as the college librarian. Fifty-three Brigade, to which he had attached himself in a dramatic act of solidarity, was in full retreat, with the exception of Okigbo himself, who had decided to hold his ground in an ill-protected bunker. When the enemy arrived, he tried to lob a grenade at a tank. His body was never found. His memory, though, haunts African writing... As Obi Nwakanma's well-researchd biography proves, however, impetuous action was a recurring aspect of his personality. With the exception of his poetry, Okigbo could never settle to anything for very long...""",,"death, war, secession, biography",
Book Review,The Times Literary Supplement,1972-07-07,p. 780,https://link.gale.com/apps/doc/ EX1200382242/GDCS?u=linc74325&sid=GDCS&xid=c688806c. ,2020-01-23,Gale Primary Sources Database,"Fraser, G. S., and G. S. Fraser. ""One World in Four Volumes."" The Times Literary Supplement, 7 July 1972, p. 780. The Times Literary Supplement Historical Archive, 1902-2014, https://link.gale.com/apps/doc/ EX1200382242/GDCS?u=linc74325&sid=GDCS&xid=c688806c. Accessed 23 Jan. 2020.",One World in Four Volumes,"Fraser, G. S. ","Okigbo, Christopher
Peters, Lenrie
Krige, Uys
Brutus, Dennis
Soyinka, Wole
",,,,"Barnes, William
Freeman, John
Wolfe, Humbert
Noyes, Alfred
Cameron, Norman
Bruce, George
Brown, George Mackay
Garioch, Robert
Higgins, F. R.
Heaney, Seamus
Montague, John
Murphy, Richard
Clarke, Austin
Moore, G. E. 
Bradley, F. H. 
Montale, Eugenio
James, Henry
Lowell, Robert
Cavalcanti, Guido
Berryman, John
Ginsberg, Allen
Riding, Laura
Ellison, Ralph
Balwin, James
Pound, Ezra
Stein, Gertrude
Williams, Carlos William
Fitzgerald, Scott
Faulkner, William
Hemingway, Ernest
Miller, Henry
Borges, Jorge Louis
Nerudo, Pablo
Parra, Nicanor
Andrade, Jorge Carrera
Graves, Robert
",,"Fraser, G. S.|Critic
Daiches, David|Writer
Buchanan, George|Academic
MacDiarmid, Hugh|Academic
Christie, Agatha|Writer
Wodehouse, P. G.|Writer
Rohmer, Sax|Writer
Clouston, J. Storer|Writer
Huxley, T. H.|Writer
Buchan, John|Writer
Thirkell, Angela|Writer
Leavis, F. R.|Academic
Austen, Jane|Writer
Dickens, Charles|Writer
Lawrence, D. H.|Writer
Chekhov, Anton|Writer
Tolstoy, Leo|Writer
Dostoevsky, Fyodor|Writer
Comnena, Anna|Academic
Pselus, Michael|Academic
",,,"Dudley, D. R. and D. M. Lang, editors. Classical and Byzantine and Oriental and African: The Penguin Companion to Literature. The Penguin Press, 1969.",,,,,,"[Excerpt]: ""Nine years were spent in preparing The Penguin Companion to Literature and a large number of contributors, most of them academics, have been enlisted. The enterprise is undoubtedly worth while: our world is certainly not politically a single world, but culturally it is becoming at least potentially so. In literature, as in music and the visual arts, we feel a need to have some knowledge by report of what we may never know by acquaintance... In the African section of the fourth volume, the late Christopher Okigbo is credited with being 'one of the most exciting poets now writing in Africa,' and some critics might feel that the formative Western influence was Pound rather than Eliot. The poet from Gambia described as 'Leurie Peters' should surely be Lenrie Peters. It is pleasant to find that very fine bilingual writer in Afrikaans and English, Uys Krige, dealt with briefly,  but with proper respect, as is the highly civilized and persecuted South African poet, Dennis Brutus. The note on the Nigerian dramatist Wole Soyinka mentions that his most famous play, The Lion and the Jewel, 'presents the impositions of modern civilization as a threat to the African villagers' individuality.' ..."" ",,"volume, companion, compendium, afrikaans, language, bilingual",
Advertisement,The Times Literary Supplement,1971-06-04,p. 639, https://link.gale.com/apps/doc/EX1200372935/GDCS?u= linc74325&sid=GDCS&xid=4195060d,2020-01-23,Gale Primary Sources Database,"""Oxford University Press."" The Times Literary Supplement, 4 June 1971, p. 639. The Times Literary Supplement Historical Archive, 1902-2014, https://link.gale.com/apps/doc/EX1200372935/GDCS?u= linc74325&sid=GDCS&xid=4195060d. Accessed 23 Jan. 2020.",Oxford University Press,,"Okigbo, Christopher
Ogundipe-Leslie, Omolara",,,,,,"New, William H.|Writer
Whitelaw, Marjory|Reporter
Felicity Riddy|Academic
Tutuola, Amos|Writer
Faungwa, D. O.|Writer
Lindfors, Bernth|Academic
Drayton, Arthur D.|Academic
Brown, Lloyd W.|Academic
DeBoissiere, Ralph|Writer
Birbalsingh, F. M.|Academic",,,"Whitelaw, Marjory. Interview with Christopher Okigbo. Journal of Commonwealth Literature. Oxford University Press, 1965.",,,,,,"[Excerpt]: ""Journal of Commonwealth Literature. Published for the University of Leeds. Appears twice yearly carrying scholarly and critical articles on literature in English written by authors from any part of the world other than the British Isles and the United States...""",,"advertisement, ad, journal, interview",
Critical Article,Financial Times,2008-06-24,p. 20,https://link.gale.com/apps/doc/ HS2307145696/GDCS?u=linc74325&sid=GDCS&xid=ed393715,2020-01-23,Gale Primary Sources Database,"Kantai, Parselelo. ""New writers emerge after the 'big sleep'."" Nigeria. Financial Times, 24 June 2008, p. 20. Financial Times Historical Archive, https://link.gale.com/apps/doc/ HS2307145696/GDCS?u=linc74325&sid=GDCS&xid=ed393715. Accessed 23 Jan. 2020.",New writers emerge after the 'big sleep',"Parselelo, Kantai","Soyinka, Wole
Achebe, Chinua [Albert Chinualumogu]
Okigbo, Christopher
Saro-Wiwa, Ken",,,,,,"Parselelo, Kantai|Critic
Bakare, Muhtar|Writer
Amadi, Elechi|Writer
Aidoo, Ama Ata|Writer
Mphalele, Ezekiel|Writer
Anikulapo, Jahman|Writer
Adichie, Chimamanda|Writer
Habila, Helon|Writer
Atta, Sefi|Writer
Agary, Kaine|Writer

",,,,Ken Saro-Wiwa's execution,Fri Nov 10 00:00:00 CST 1995,West Africa. Nigeria. Port Harcourt.,Event|Political,,"[Excerpt]: ""Nigerian writing received its second wind in exile. Over the past decade, a new crop of Nigerian writers, celebrated in the diaspora, has resuscitated Nigeria's literary tradition. At home, it is the business of publishing, rather than the art of writing that is uppermost in many young writers' minds. Two decades of military rule coupled with the crippling effects of Nigeria's precipitous economic decline in teh [sic] 1980s and 1990s hs left the cultural landscape in ruins... Several UK publishers, including Oxford University Press, Evans, and, most notably, Heinemann, had set up shop in Ibadan, south-west Nigeria, and were able to tap the literary talents emerging from the University of Ibadan, Nigeria's foremost seat of learning. Magazines such as Black Orpheus and The Horn, showcased the work of such writers as Chinua Achebe, Wole Soyinka, Christopher Okigbo, Elechi Amadi, Ama Ata Aidoo and Ezekiel Mphalele, the South African writer. From the 1960s and well into the 1980s and 1990s, Heinemann's African Writers Series, distributed acorss the writers into international household names...""",,"heinemann, publisher, landscape, exile, arrest, execution, disapora, military",
Advertisement,The Times Literary Supplement,1973-07-27,p. 888, https://link.gale.com/apps/doc/EX1200391337/GDCS?u= linc74325&sid=GDCS&xid=34af6817.,2020-01-23,Gale Primary Sources Database,"""The Times Literary Supplement."" The Times Literary Supplement, 27 July 1973, p. 888. The Times Literary Supplement Historical Archive, 1902-2014, https://link.gale.com/apps/doc/EX1200391337/GDCS?u= linc74325&sid=GDCS&xid=34af6817. Accessed 23 Jan. 2020.",The Times Literary Supplement: 27 July 1973,,"Okigbo, Christopher
Soyinka, Wole",,,,,,"Anozie, S. O.|Writer
Moore, Gerald|Critic",,,,,,,,,[Advertisement or table of contents for the Times Literary Supplement.],,,
Critical Article,The Times,1971-10-01,p. VII,https://link.gale.com/apps/doc/CS655062337/GDCS?u=linc74325&sid=GDCS&xid=36f8cdfa.,2020-01-23,Gale Primary Sources Database,"Whiteman, Kaye. ""Leading source for Negro art."" Times, 1 Oct. 1971, p. VII. The Times Digital Archive, https://link.gale.com/apps/doc/CS655062337/GDCS?u=linc74325&sid=GDCS&xid=36f8cdfa. Accessed 23 Jan. 2020.",Leading source for Negro art,"Whiteman, Kaye","Senghor, Léopold Sédar 
Achebe, Chinua [Albert Chinualumogu]
Soyinka, Wole
Clark, John Pepper [J. P.]
Okigbo, Christopher",,,,,,"Whiteman, Kaye|Reporter
Enahoro, Anthony|Politician
Gowon, Yabuku|Politician
",,,,World Festival of Negro Arts,1974,West Africa. Nigeria. Lagos.,Event|Professional,,"[Excerpt]: ""In 1974 Nigeria is to stage the second World Festival of Negro Arts. Announcing this officially in Lagos recently, Chief Enahoro, Federal Commissioner of Information and Labour, who is also to be the Comissioners for the festival said it would be 'the greatest concourse of black peoples from different continents and countries in the entire history of the blakc man.' ... Nigeria's literary talents have achieved a much greater pre-eminence, and are now widely appreciated, both inside and outside Africa. Two authors in particular, Soyinka and Achebe, have received special acclaim, and both were deeply disturbed by the recent conflict and became politically involved...""",,"festival, art, prison, publication, negritude",
Critical Article,The Times Literary Supplement,2011-11-04,p. 25, https://link.gale.com/apps/doc/EX1200562773/GDCS?u=linc74325&sid= GDCS&xid=59614ca4.,2020-01-23,Gale Primary Sources Database,"Warnes, Andrew. ""Cultural Studies."" The Times Literary Supplement, 4 Nov. 2011, p. 25. The Times Literary Supplement Historical Archive, 1902-2014, https://link.gale.com/apps/doc/EX1200562773/GDCS?u=linc74325&sid= GDCS&xid=59614ca4. Accessed 23 Jan. 2020.",Cultural Studies,"Warnes, Andrew","Achebe, Chinua [Albert Chinualumogu]
Okigbo, Christopher
Brutus, Dennis
Soyinka, Wole",,,,"DuBois, W. E. B.",,"Warnes, Andrew|Critic
Neogy, Rajat|Writer
Beier, Ulli|Academic
Gordimer, Nadine|Writer
Theroux, Paul|Writer
Ngugi, James|Writer
Gates, Henry Louis|Academic
Ghansah, Rachel Kaadzi|Academic
Lawrence, Jacob|Artist
Bearden, Romare|Artist
Epps, Brad|Academic
Ndongo, Donato|Writer
Jelly-Schapiro, Joshua|Writer
James, C. L. R.|Writer
Webb, Constance|Artist
Fares, Nabile|Writer
Baldwin, James|Writer
Thompson, Peter|Writer
Arrechea, Alexandre|Artist
Cole, Teju|Writer
",,,,,,,,,"[Excerpt]: ""Few literary magazines have undergone journeys more remarkable than Transition. Founded by Rajat Neogy in Uganda in 1961, the magazine began as a forum for new African writing, and its earliest issues helped to launch the careers of Chinua Achebe, Christopher Okigbo, Ulli Beier, Dennis Brutus, Nadine Gorimer, Paul Theroux and Ngugi wa Thiong'o. Following political repression and allegations of CIA involvement, however, the magazine closed down its Kampala offices in 1968. Wole Soyinka, another original contributor, helped to revive the magazine in Ghana during the 1970s, but it folded again for lack of money. It took the clout and backing of Soyinka's former student at Cambridge, Professor Henry Louis Gates, Jr, to relaunch Transition on a more stable footing in 1991...""",,"magazine, literary, journey, career, publication",
Advertisement,The Times Literary Supplement,1972-03-03,p. 238, https://link.gale.com/apps/doc/EX1200379360/GDCS?u= linc74325&sid=GDCS&xid=c14eed89,2020-01-23,Gale Primary Sources Database,"""Heinemann."" The Times Literary Supplement, 3 Mar. 1972, p. 238. The Times Literary Supplement Historical Archive, 1902-2014, https://link.gale.com/apps/doc/EX1200379360/GDCS?u= linc74325&sid=GDCS&xid=c14eed89. Accessed 23 Jan. 2020.",Heinemann: New African Writing,,"Achebe, Chinua [Albert Chinualumogu]
Peters, Lenrie
Okigbo, Christopher",,,,,,"Zell, Hans|Academic
Silver, Helene|Academic
Palmer, Eustace|Academic
Ngugi, James|Writer
Omotoso, Kole|Writer
Mulaisho, Dominic|Writer
Mazrui, Alia A|Writer
Themba, Can|Writer
",,,"Mazrui, Ali A. The Trial of Christopher Okigbo. African Writers Series, 1971. ",,,,,,[List of publications for the Heinemann African Writer's Series.] ,,"heinemann, publication, publisher, series",
